<PR>find_showtimes<PRAN>time.showing<PRAV>1:00PM<C><U>Is the new Birds of Prey movie showing at the Bel Air Luxury Cinema?<PN>find_movies<PAN>name.theater<PAV>Bel Air Luxury Cinema<PAN>description.other<PAV>new<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>Birds of Prey<A>Yes. Birds of Prey is being shown at the Bel Air Luxury Cinema.<U>What is the movie rated?<PN>get_movie_attribute<PAN>name.movie<PAV>Birds of Prey<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>Rated-R<A>The movie is Rated-R.<U>Is there a matinee showing of the movie around 10:00AM?<PN>find_showtimes<PAN>name.movie<PAV>Birds of Prey<PAN>name.theater<PAV>Bel Air Luxury Cinema<PAN>date.showing<PAV>today<PAN>time.preference<PAV>around 10:00AM<PR>find_showtimes<PRAN>time.showing<PRAV>empty<A>Unfortunately, there is no matinee showing of this film at 10:00AM in any nearby theaters. Is there any other times you would prefer?<U>No. I want to see a movie at 10:00AM.<A>Do you have any other movie preferences?<U>What about Sonic the Hedgehog at the Devonshire Mall theater?<PN>find_movies<PAN>name.theater<PAV>Devonshire Mall<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>Sonic the Hedgehog<PN>find_showtimes<PAN>name.movie<PAV>Sonic the Hedgehog<PAN>name.theater<PAV>Devonshire Mall<PAN>date.showing<PAV>today<PAN>time.preference<PAV>around 10:00AM<PR>find_showtimes<PRAN>time.showing<PRAV>empty<A>Sonic the Hedgehog is playing at Devonshire Mall theater, but there are no showings around 10:00AM.<U>I may be able to change my showtime preference to 1:00PM. Are the Birds of Prey or Sonic the Hedgehog movies playing around 1:00PM?<PN>find_theaters<PAN>name.movie<PAV>Birds of Prey<PAN>location<PAV>nearby<PR>find_theaters<PRAN>name.theater<PRAV>AMC Fairlane 21<PN>find_theaters<PAN>name.movie<PAV>Sonic the Hedgehog<PAN>location<PAV>nearby<PR>find_theaters<PRAN>name.theater<PRAV>AMC Fairlane 21<PN>find_showtimes<PAN>name.movie<PAV>Birds of Prey<PAN>name.theater<PAV>AMC Fairlane 21<PAN>date.showing<PAV>today<PAN>time.preference<PAV>1:00PM<PR>find_showtimes<PRAN>time.showing<PRAV>1:00PM<PN>find_showtimes<PAN>name.movie<PAV>Sonic the Hedgehog<PAN>name.theater<PAV>AMC Fairlane 21<PAN>time.preference<PAV>10:00AM<PAN>date.showing<PAV>today	[A]The AMC Fairlane 21 has 1:00PM showtimes for both Birds of Prey and Sonic the Hedgehog.	dlg-ab7bc910-e728-4339-b0f6-f4f9b5dc2c1b
<PR>get_movie_attribute<PRAN>name.person<PRAV>Brad Pitt<C><U>I am interested in seeing a movie like the Joker that just came out in theaters.<PN>find_movies<PAN>description.other<PAV>like the Joker<PR>find_movies<PRAN>name.movie<PRAV>'Cuck'<A>That movie is highly rated, have you seen 'Cuck'? I heard its similar to the Joker.<U>Can you tell me a good science fiction movie?<PN>find_movies<PAN>description.other<PAV>good science fiction movie<PR>find_movies<PRAN>name.movie<PRAV>Ad Astra<A>I would recommend Ad Astra because it is a space thriller.<U>I am eager to see a movie like the Interstellar that just came out in theaters a few years ago.<PN>find_movies<PAN>description.other<PAV>like the Interstellar<PR>find_movies<PRAN>name.movie<PRAV>Star Wars episode 8<A>I would recommend you watch Star Wars episode 8, it is a sci fi adventure.<U>Can you tell me a good horror movie?<PN>find_movies<PAN>description.other<PAV>good horror<PR>find_movies<PRAN>name.movie<PRAV>IT<A>IT is suppose to be a scary clown movie that is out for halloween<U>I am curious to see a movie like How To Lose A Guy in 10 Days that just came out in theaters a few years ago.<PN>find_movies<PAN>description.other<PAV>like How To Lose A Guy in 10 Days<PR>find_movies<PRAN>name.movie<PRAV>Eat Love Pray<A>Eat Love Pray is suppose to be a romance movie that explores spirituality.<U>Can you tell me a good thriller movie that has high ratings?<PN>find_movies<PAN>description.other<PAV>good thriller movie that has high ratings<PR>find_movies<PRAN>name.movie<PRAV>Seven<PN>get_movie_attribute<PAN>name.movie<PAV>Seven<PAN>attribute<PAV>name.person	[A]I would suggest seeing the movie Seven with Brad Pitt because it explores human nature.	dlg-4fba3e50-69f1-4b5c-b99d-436b4094c449
<U>Regal Crown Center or State Cinemas?<C><U>Hi, I'd like to order movie tickets/<A>Okay, what area do you want to see a movie in?<U>Washington.<A>You mean Washington state?<U>No?<A>Washington County?<U>Yes.<A>Okay, what movie do you want to see?<U>Dolittle'.<A>Okay, and at what theater?	[A]Regal Crown Center has a showing.	dlg-74027bee-4c2a-4396-a481-3f680ade9c01
<U>I'd like to purchase tickets for myself, my mom, and my sister today.<C><U>I'd like to purchase some movie tickets for this evening<A>OK. Can you tell me the city and state where the theater is located?<U>I'd prefer seeing a movie in my local Santa Barbara theater.<PN>find_theaters<PAN>location<PAV>Santa Barbara, California<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<PRAV>AMC Mercado 24<A>I see two theaters, AMC Mountain 16 and AMC Mercado 24. Are you interested in a particular movie?<U>Those are great theaters, really wonderful people work there!<A>OK. Is there a movie you have in mind?<U>I don't know what is out at the moment, I've been out of touch with pop culture for a while now!<A>Sure. Do you have a favorite genre?<U>Can you explain the word 'genre' to me?<A>Genre the movie category, like comedy, drama, action, etc.<U>Ah, got it. I like action movies.<PN>find_movies<PAN>name.theater<PAV>AMC Mountain 16<PAN>name.genre<PAV>action<PR>find_movies<PRAN>name.movie<PRAV>No Time To Die<A>Ok. Let’s see what action films are out.<PN>find_movies<PAN>name.theater<PAV>AMC Mercado 24<PAN>name.genre<PAV>action<PR>find_movies<PRAN>name.movie<PRAV>empty<A>I found one action movie at AMC Mountain 16: No Time To Die.<U>What times is No Time to Die showing at?<PN>find_showtimes<PAN>name.theater<PAV>AMC Mountain 16<PAN>date.showing<PAV>tonight<PAN>name.movie<PAV>No Time To Die<PR>find_showtimes<PRAN>time.showing<PRAV>4:30pm<PRAV>6:40pm<PRAV>9:10pm<A>One moment.<U>I would like the 9.10pm ticket.<A>Got it. And how many tickets?	[A]All right. Let me confirm that you’d like three tickets for No Time To Die at AMC Mountain 16 tonight at 9:10pm. Is that all correct?	dlg-94a330aa-78f2-4540-ab75-37718422d5bd
<U>Star Wars.<C><U>I would like to order some tickets for a movie.<A>What movie would you like to see?	[A]How many tickets would you like to order?	dlg-6df50d83-f036-4514-b32e-d3bb5b3bb980
<U>Ok that sounds good what about<C><U>Hello I would like to purchase tickets ?<A>Ok for what show ?<U>I would like more information about My Problem -<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Comedy<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>PG-13<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes 72%<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>A troubled teen tries to convince his depressed elderly neighbor that things are not what they seem<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Matt Damon<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Noah Schnapp<A>Ok Not My Problem - Comedy - rated PG-13 - Rotten Tomatoes 72% - A troubled teen tries to convince his depressed elderly neighbor that things are not what they seem. - Stars Matt Damon and Noah Schnapp.	[PN]get_movie_attribute[PAN]name.movie[PAV]Beyond The Storm[PAN]attribute[PAV]name.genre	dlg-4cc2eda0-f777-4fa9-9270-2c02075ff6a3
<U>ok sir timing of the movie sir<C><U>hello sir<A>hello sir<U>i like to book the tickets sir<A>ok for which movie sir<U>for family jewels movie si<PN>resolve_movie<PAN>name.movie<PAV>family jewels<PR>resolve_movie<PRAN>name.movie<PRAV>family jewels<A>ok sir how many tickets sir you like to book<U>i need four tickets<PN>find_theaters<PAN>name.movie<PAV>family jewels<PAN>location<PAV>nearby<PR>find_theaters<PRAN>name.theater<PRAV>AMC holiday theater<A>ok sir your theater name AMC holiday theater	[PN]find_showtimes[PAN]name.movie[PAV]family jewels[PAN]name.theater[PAV]AMC holiday theater[PAN]date.showing[PAV]today[PAN]time.preference[PAV]any	dlg-b6c2914e-8147-46dc-abf5-7343f2d57ec7
<PR>find_showtimes<PRAN>time.showing<PRAV>09:40 PM<C><U>Hi could you recommend a horror movie for me and my friends please.<A>Which theater would you like to go to?<U>Oakland area only.<PN>find_movies<PAN>location<PAV>Oakland area<PAN>name.genre<PAV>horror<PR>find_movies<PRAN>name.movie<PRAV>The Turning<PRAV>Come to Daddy<A>Come to Daddy and The Turning are the 2 horror movies I can recommend then.<U>I heard about The Turning. Can you tell me about Come to Daddy?<PN>get_movie_attribute<PAN>name.movie<PAV>The Turning<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Ant Timpson<PN>get_movie_attribute<PAN>name.movie<PAV>The Turning<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Daniel Bekerman<PN>get_movie_attribute<PAN>name.movie<PAV>The Turning<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Emma Slade<PN>get_movie_attribute<PAN>name.movie<PAV>The Turning<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Katie Holly<PN>get_movie_attribute<PAN>name.movie<PAV>The Turning<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Laura Tunstall<A>Ant Timpson directed the film with casts Daniel Bekerman, Emma Slade, Katie Holly, and Laura Tunstall.<U>Hmmm<PN>get_movie_attribute<PAN>name.movie<PAV>The Turning<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>Norval Greenwood (Elijah Wood), a privileged man-child who has been living with his mother, receives an unexpected letter from his estranged father (Stephen McHattie), who invites him to come visit at his secluded and scenic waterfront home. Norval quickly discovers there is something off about his father and he gets an uneasy feeling. Instead of a warm family reunion with a dad whom he hasn't seen for years, he discovers the man has a shady past that's rushing to catch up with him.<A>Norval Greenwood (Elijah Wood), a privileged man-child who has been living with his mother, receives an unexpected letter from his estranged father (Stephen McHattie), who invites him to come visit at his secluded and scenic waterfront home. Norval quickly discovers there is something off about his father and he gets an uneasy feeling. Instead of a warm family reunion with a dad whom he hasn't seen for years, he discovers the man has a shady past that's rushing to catch up with him.<U>I think The Turning is better.<A>Any particular movie theater you're interested in?<U>Which theater is available at 09:00 PM?<A>I do not theaters showing it at 09:00 PM in Oakland<U>Anything before 10:00 PM?<PN>find_theaters<PAN>location<PAV>Oakland area<PAN>name.movie<PAV>The Turning<PR>find_theaters<PRAN>name.theater<PRAV>Regal Jack London<PRAV>AMC Metreon 16<PN>find_showtimes<PAN>name.movie<PAV>The Turning<PAN>name.theater<PAV>Regal Jack London<PAN>date.showing<PAV>today<PAN>time.preference<PAV>Anything before 10:00 PM	[PN]find_showtimes[PAN]name.movie[PAV]The Turning[PAN]name.theater[PAV]AMC Metreon 16[PAN]date.showing[PAV]today[PAN]time.preference[PAV]Anything before 10:00 PM	dlg-201dda83-34db-427d-89ba-bd0ed8e1cab9
<PR>check_tickets<PRAN>status<PRAV>unavailable<C><U>Hey, I want to see a movie.<A>Okay then. At your usual theater?<U>No, I want to see it at AMC River East 21.<A>Where is that at?<U>It is in Chicago., Illinois.<A>Great. How many tickets do you need?<U>2, I want to go with my friend Jenny.<A>I will get right on that.<U>Ok.<A>What time were you looking for?<U>12:00 PM or 1:00 PM.<PN>check_tickets<PAN>name.theater<PAV>AMC River East 21<PAN>num.tickets<PAV>2<PAN>time.preference<PAV>12:00 PM<PAN>date.showing<PAV>today	[PN]check_tickets[PAN]name.theater[PAV]AMC River East 21[PAN]num.tickets[PAV]2[PAN]time.preference[PAV]1:00 PM[PAN]date.showing[PAV]today	dlg-e75ca65f-6b70-4dd5-b42c-75b3a68caf20
<U>Can I switch to Imax screening instead?<C><U>hi hows it going can you help me with something<A>yes of course, what is it?<U>Can you help me purchase movie tickets?<A>yes of course, which movie and where?<U>sonic at AMC 13<A>ok what time would you like?<U>7pm for wednesday<A>Ok and which screening would you like IMAX or standard?<U>I want standard<A>ok how many tickets do you need?<U>I need 3 tickets if possible<A>ok sounds good.<U>actually can I change something?<A>yes of course.	[A]Yes, of course sir would you like to keep the other details the same?	dlg-ea929609-85fb-42db-80f2-98f3891b7e60
<U>9:10 pm sounds good.<C><U>Hello, I would like to buy tickets for the movie tonight at the AMC Mountain 16 theater<A>No problem. Is there a particular type of movie you’re looking for?<U>What action movies are playing?<A>Sure. I can help with that. Let me check listings at AMC Mercado 24.<U>I am actually looking for action movies at the AMC Mountain 16<A>Oh, sorry about that. So you’re interested in action films at AMC Mountain 16, right?<U>That's correct<PN>find_movies<PAN>name.genre<PAV>action<PAN>name.theater<PAV>AMC Mountain 16<PR>find_movies<PRAN>name.movie<PRAV>No Time To Die<PN>find_showtimes<PAN>name.theater<PAV>AMC Mountain 16<PAN>date.showing<PAV>tonight<PAN>name.movie<PAV>No Time To Die<PR>find_showtimes<PRAN>time.showing<PRAV>4:30pm<PRAV>6:40pm<PRAV>9:10pm<A>OK. I see one action movie playing at AMC Mountain 16: No Time To Die. Remaining showtimes are 4:30pm, 6:40pm and 9:10pm. Does any of those work?	[A]Great. And how many tickets?	dlg-ad9bafa2-7235-44a0-bff0-eadd9780146f
"<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes gave it a score of 72%<C><U>Hi. I'm looking for a movie playing in Spring Hills tonight?<A>I can help with that. Is your location Spring Hills, Kansas?<U>Yes. What movies are currently playing around here?<A>I found five movies currently playing in Spring Hills, Kansas. Is there a particular title or type of movie you'd prefer to see?<U>I think there's a new movie starring Melissa McCarthy. I don't remember the title, though.<PN>find_movies<PAN>location<PAV>Spring Hills, Kansas<PAN>name.person<PAV>Melissa McCarthy<PAN>description.other<PAV>new movie<PR>find_movies<PRAN>name.movie<PRAV>""Family Jewels""<PN>get_movie_attribute<PAN>name.movie<PAV>""Family Jewels""<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Romantic Comedy<PN>get_movie_attribute<PAN>name.movie<PAV>""Family Jewels""<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Melissa McCarthy<PN>get_movie_attribute<PAN>name.movie<PAV>""Family Jewels""<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Ryan Reynolds<A>No problem. There is a movie playing in Spring Hills that stars Melissa McCarthy and Ryan Reynolds. It's a Romantic Comedy titled ""Family Jewels"".<U>Yes, that's the title. Tell me more about it.<PN>get_movie_attribute<PAN>name.movie<PAV>""Family Jewels""<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>R<PN>get_movie_attribute<PAN>name.movie<PAV>""Family Jewels""<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes gave it a score of 69%<PN>get_movie_attribute<PAN>name.movie<PAV>""Family Jewels""<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>""A famous diamond dealer leaves his European life in Antwerp to pursue a less than genuine romance with an American con artist.""<A>Of course. ""Family Jewels"" is rated R. Rotten Tomatoes gave it a score of 69%. Here's a brief synopsis: ""A famous diamond dealer leaves his European life in Antwerp to pursue a less than genuine romance with an American con artist.""<U>That sounds like fun. Where's it playing tonight?<PN>find_theaters<PAN>location<PAV>Spring Hills, Kansas<PAN>name.movie<PAV>""Family Jewels""<PR>find_theaters<PRAN>name.theater<PRAV>AMC Holiday Theater<PN>find_showtimes<PAN>name.movie<PAV>""Family Jewels""<PAN>name.theater<PAV>AMC Holiday Theater<PAN>date.showing<PAV>today<PAN>time.preference<PAV>tonight<PR>find_showtimes<PRAN>time.showing<PRAV>5:00pm<PRAV>8:10pm<A>""Family Jewels"" is playing at the AMC Holiday Theater tonight. Showtimes are at 5:00pm and 8:10pm.<U>Thanks. Are there any other comedies playing?<PN>find_movies<PAN>location<PAV>Spring Hills, Kansas<PAN>name.genre<PAV>comedies<PR>find_movies<PRAN>name.movie<PRAV>""Not My Problem""<PN>get_movie_attribute<PAN>name.movie<PAV>""Not My Problem""<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Comedy<PN>get_movie_attribute<PAN>name.movie<PAV>""Not My Problem""<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>PG-13<PN>get_movie_attribute<PAN>name.movie<PAV>""Not My Problem""<PAN>attribute<PAV>review.critic"	"[PN]get_movie_attribute[PAN]name.movie[PAV]""Not My Problem""[PAN]attribute[PAV]name.person"	dlg-995b1cde-adf4-4554-8b61-4421fe428c33
"<U>No thank you that will be all.<C><U>Hello, I would like to purchase some movies tickets<A>Sure! But before that could I know which theater?<U>Uhm, yes, I would like to select AMC Fashion Valley 18 in San Diego<PN>find_movies<PAN>name.theater<PAV>AMC Fashion Valley 18<PAN>location<PAV>San Diego<PR>find_movies<PRAN>name.movie<PRAV>Sonic: The Hedgehog<PRAV>The Photograph<PRAV>Birds of Prey<PRAV>Bad Boys For Life<A>Sure. No problem! Current just released movies are Sonic: The Hedgehog, The Photograph, Birds of Prey and Bad Boys For Life<U>Interesting. What is the Photograph about it?<PN>get_movie_attribute<PAN>name.movie<PAV>The Photograph<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>""The Photograph"" is When famed photographer Christina Eames dies unexpectedly, she leaves her estranged daughter, Mae, hurt, angry and full of questions. When Mae finds a photograph tucked away in a safe-deposit box, she soon finds herself delving into her mother's early life -- an investigation that leads to an unexpected romance with a rising journalist<A>The synopsis for ""The Photograph"" is When famed photographer Christina Eames dies unexpectedly, she leaves her estranged daughter, Mae, hurt, angry and full of questions. When Mae finds a photograph tucked away in a safe-deposit box, she soon finds herself delving into her mother's early life -- an investigation that leads to an unexpected romance with a rising journalist.<U>Ah, okay, so it's a romantic movie?<PN>get_movie_attribute<PAN>name.movie<PAV>The Photograph<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Drama/Romance<A>Yes, it is Drama/Romance<U>And what's the synopsis for Bad Boys for Life?<PN>get_movie_attribute<PAN>name.movie<PAV>Bad Boys For Life<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>thriller/crime<PN>get_movie_attribute<PAN>name.movie<PAV>Bad Boys For Life<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>The wife and son of a Mexican drug lord embark on a vengeful quest to kill all those involved in his trial and imprisonment -- including Miami Detective Mike Lowrey<A>Bad Boys for life is a thriller/crime film. The wife and son of a Mexican drug lord embark on a vengeful quest to kill all those involved in his trial and imprisonment -- including Miami Detective Mike Lowrey.<U>That sounds interesting. And who are the actors in this movie?<PN>get_movie_attribute<PAN>name.movie<PAV>Bad Boys For Life<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Martin Lawrence<PN>get_movie_attribute<PAN>name.movie<PAV>Bad Boys For Life<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Will Smith<A>The leads of this movie are are Martin Lawrence and Will Smith.<U>What are the times for this movie at AMC Fashion Valley?<PN>find_showtimes<PAN>name.movie<PAV>Bad Boys For Life<PAN>name.theater<PAV>AMC Fashion Valley 18<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>12:10 PM<PRAV>3:20 PM<PRAV>6:30 PM<A>12:10 PM, 3:20 PM and 6:30 PM<U>Thanks and are there any other theaters close by?<PN>find_theaters<PAN>location<PAV>theaters close by<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mission Valley 20<PRAV>The LOT Liberty stations<A>AMC Mission Valley 20 and The LOT Liberty stations are currently the closest nearby theaters<U>Thank you and how much would it be for 3 adult tickets? For a matinee showtime<A>There are currrently no available matinee showtimes at any theaters. Would you still like to order tickets for a later showtime?"	[A]No problem! You're welcome. Have a nice day	dlg-edafad2d-28b7-40fa-bc27-da383aceabb6
<PR>check_tickets<PRAN>status<PRAV>unavailable<C><U>I would like to buy tickets to see Bad Boys For Life<A>TY where would you like to see this movie?<U>Bloomsburg PA<A>How many tickets?<U>2<A>What show time?<U>5pm<PN>find_showtimes<PAN>name.movie<PAV>Bad Boys For Life<PAN>date.showing<PAV>today<PAN>time.preference<PAV>5pm<PR>find_showtimes<PRAN>time.showing<PRAV>3 pm<PRAV>5pm<PN>check_tickets<PAN>name.movie<PAV>Bad Boys For Life<PAN>num.tickets<PAV>2<PAN>time.preference<PAV>5pm<PAN>date.showing<PAV>today<PAN>seating<PAV>any<PR>check_tickets<PRAN>status<PRAV>unavailable<A>I am sorry there are no available seats for that showing.<U>What about another time?<PN>check_tickets<PAN>name.movie<PAV>Bad Boys For Life<PAN>num.tickets<PAV>2<PAN>time.showing<PAV>3 pm<PAN>date.showing<PAV>today<PAN>seating<PAV>any<PR>check_tickets<PRAN>status<PRAV>unavailable<A>The 3 pm is also full<U>OK<A>Is there another movie you are interested in?<U>Yes, Dolittle<PN>find_showtimes<PAN>name.movie<PAV>Dolittle<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>3 pm<A>There is a 3 pm showing<U>Can we get tickets to it<PN>check_tickets<PAN>name.movie<PAV>Dolittle<PAN>num.tickets<PAV>2<PAN>time.showing<PAV>3 pm<PAN>date.showing<PAV>today<PAN>seating<PAV>any	[A]No sorry there are no seats available	dlg-41e5e051-c519-4451-bb92-501824173d7f
