<U>Yes, I'd like to buy movie tickets for today.	[A]I'd be glad to assist you. Do you know what you want to see, or would you like some help?	dlg-b422568e-0f8d-42f3-9bf3-e118807699ae
<U>Well, for started cans you give me a synopsis of the movie, like what is the main point of the story?<C><U>I am bored and would like to see a movie this evening. Would you please assist me with finding a movie and purchasing tickets?<A>Sure. What movie would you like to see?<U>I would like to see a movie at the Boulevard 14 Cinema in Petaluma, California. Would you please tell me what movies are playing at this theater?<PN>find_movies<PAN>name.theater<PAV>Boulevard 14 Cinema<PAN>location<PAV>Petaluma, California<PR>find_movies<PRAN>name.movie<PRAV>No Time To Die<PRAV>Mulan<PRAV>Emma<A>OK. Boulevard 14 Cinema in Petaluma, California is showing three movies: No Time To Die, Mulan, and Emma.<U>Mulan sounds interesting. Would you give me a summary of the movie so I have a better idea about this movie.<A>Sure. What specifically would you like to know?	[PN]get_movie_attribute[PAN]attribute[PAV]description.plot[PAN]name.movie[PAV]Mulan	dlg-5cf4fe93-892b-4672-90e1-c594b081486a
<U>That's correct<C><U>I would love to see a movie tonight<A>OK. And where will you be seeing the movie?<U>Let's go with Creek's End here in Oregon<A>Creek’s End, Oregon. Got it. Is there a particular movie you have in mind?<U>Mulan is best I'm bringing my kids<PN>find_theaters<PAN>name.movie<PAV>Mulan<PAN>location<PAV>Creek’s End, Oregon<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<PRAV>AMC Mercado 24<A>Sure. Disney seems like a great choice. In Creek’s End, Oregon, I see that Mulan is showing in two theaters: AMC Mountain 16 and AMC Mercado 24.<U>AMC Mercado 24 please it's the closest I don't wanna go to far<PN>find_showtimes<PAN>name.movie<PAV>Mulan<PAN>name.theater<PAV>AMC Mercado 24<PR>find_showtimes<PRAN>time.showing<PRAV>5:00pm<PRAV>7:10pm<PRAV>9:45pm<A>No problem. It looks like tonight’s remaining showtimes for Mulan at AMC Mercado 24 are 5:00pm, 7:10pm, and 9:45pm. Which is best for you?<U>5:00 pm the earlier the better<A>Great. And how many tickets?<U>3 tickets please<A>All right. Let me confirm that you’d like three tickets for Mulan at AMC Mercado 24 tonight at 5:00pm. Is that all correct?	[A]Is it OK to go ahead and purchase these tickets?	dlg-42166c65-876c-48cc-8993-b3b7b665c478
<U>I thought a new Disney movie came out.<C><U>I don't have anything going on tomorrow night, and Wednesday I don't have work, so I'd like to go see a movie. I need to buy a ticket.<A>Do you want to see the movie on Tuesday or Wednesday?<U>Tuesday night, tomorrow. Sorry that wasn't clear.<A>That's okay. Would you like recommendations, or do you know the movie you want to see?<U>I hadn't really made up my mind. I was thinking about something animated since I'm going alone. Is anything good playing?<A>Where will you be located for the movie?<U>I'll be here at home in Albuquerque. It's just a night off work, not a trip.<PN>find_movies<PAN>location<PAV>Albuquerque<PR>find_movies<PRAN>name.movie<PRAV>Sonic the Hedgehog<PRAV>My Hero Academia: Heroes: Rising<A>The animated movies playing in theaters tomorrow in Albuquerque are Sonic the Hedgehog and My Hero Academia: Heroes: Rising.	[PN]find_movies[PAN]name.genre[PAV]animated[PAN]description.other[PAV]new[PAN]location[PAV]Albuquerque	dlg-8fba4cf8-8438-46b8-bcfe-bb55211fa215
<U>That is all. Thanks for helping.<C><U>Hi there. Can you help me book some tickets to the movies?<A>I would be happy to. What town are you in so I can look up showtimes in your are?<U>Hillview, Washington.<PN>find_theaters<PAN>location<PAV>Hillview, Washington<PR>find_theaters<PRAN>name.theater<PRAV>AMC Holiday<PRAV>AMC Multiplex Gold<PRAV>Cinemark Downtown<A>I see three movie theaters near you. There is Cinemark Downtown, AMC Holiday Theater and AMC Multiplex Gold. Do you have a preference?<U>It depends on what is playing. What is playing at AMC Multiplex Gold?<PN>find_movies<PAN>location<PAV>Hillview, Washington<PAN>name.theater<PAV>AMC Multiplex Gold<PR>find_movies<PRAN>name.movie<PRAV>Beholden<PN>get_movie_attribute<PAN>name.movie<PAV>Beholden<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>western<PN>get_movie_attribute<PAN>name.movie<PAV>Beholden<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>R<PN>get_movie_attribute<PAN>name.movie<PAV>Beholden<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes gave it 69%<A>There is one movie on there. It is called Beholden. It is a western movie and it is rated R. Rotten Tomatoes gave it 69%.<U>I do not really like westerns. Cinemark Downtown is not too far away. What is playing there?<PN>find_movies<PAN>location<PAV>Hillview, Washington<PAN>name.theater<PAV>Cinemark Downtown<PR>find_movies<PRAN>name.movie<PRAV>Five Ways to Wacky<PN>get_movie_attribute<PAN>name.movie<PAV>Five Ways to Wacky<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>comedy<PN>get_movie_attribute<PAN>name.movie<PAV>Five Ways to Wacky<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>PG-13<PN>get_movie_attribute<PAN>name.movie<PAV>Five Ways to Wacky<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>Rotten Tomatoes gave it 68%<A>There is one movie at Cinemark Downtown. It is called Five Ways to Wacky, a comedy that is rated PG-13. Rotten Tomatoes gave it 68%.<U>That sounds good. I will go with that one.<A>Great. What day would you like to go?<U>Today please.<A>How many tickets would you like to buy?<U>Two please.<PN>find_showtimes<PAN>name.movie<PAV>Five Ways to Wacky<PAN>name.theater<PAV>Cinemark Downtown<PAN>date.showing<PAV>Today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>1:30pm<PRAV>3:40<PRAV>6:10pm<PRAV>8:30pm<A>The showtimes today are 1:30pm, 3:40, 6:10pm and 8:30pm. What time do you prefer?<U>I will take the 6:10pm please.<A>Is there anything else I can help you with? If that is all I will confirm the movie ticket details and book.	[A]No problem. So that will be two tickets for today's 6:10pm showing of Five Ways to Wacky at Cinemark Downtown in Hillview, Washington.	dlg-23857154-d542-4ccb-9572-88ec38abb393
<PR>find_theaters<PRAN>name.theater<PRAV>Eden Prairie<PRAV>Southdale<PRAV>Rosedale<PRAV>AMC<C><U>Hi assistant, I'd like to go to a movie.<A>Okay, do you have a movie in mind?<U>No<A>Okay, I can suggest some. Can you tell me what movie theater you'd like to go to?<U>any<PN>find_theaters<PAN>location<PAV>nearby	[A]Okay AMC seems to have good reviews. I'll start with those. The Eden Prairie theater sound ok?	dlg-c2a2a4cc-1d49-471b-bf38-4731a5d0b298
<PR>get_movie_attribute<PRAN>name.person<PRAV>James Cameron<C><U>Hi, I was thinking of seeing a movie<A>Okay, what type of movie were you interested in?<U>I was thinking horror.<PN>find_movies<PAN>name.genre<PAV>horror<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>Shuttered<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>horror<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>R<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes 61%<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>Sarah Decker moves upstate from her New York City lifestyle to work on her distant cousin’s haunted marijuana farm<A>Okay I found Shuttered - Horror - rated R - Rotten Tomatoes 61% - Sarah Decker moves upstate from her New York City lifestyle to work on her distant cousin’s haunted marijuana farm.<U>On second thought, what about an action movie?<PN>find_movies<PAN>name.genre<PAV>action<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>Beyond The Storm<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>action<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>PG-13<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes 81%<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>Fishing the North Sea gets ugly as Captain John’s crew faces not only severe weather but a traitor on board<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>name.person	[A]Okay, I found Beyond The Storm - Action - rated PG-13 - Rotten Tomatoes 81% - Fishing the North Sea gets ugly as Captain John’s crew faces not only severe weather but a traitor on board - directed by James Cameron.	dlg-4558b92f-5b0b-4861-93f8-928c92c75201
<U>Fantasy Island<C><U>I need movie tickets<A>To what show?	[A]And what theater?	dlg-3aeeeeb7-9d24-48d1-b745-c11cba6fb166
<PR>find_showtimes<PRAN>time.showing<PRAV>3:00pm<PRAV>5:45<PRAV>9:00pm<C><U>Hello... I want to book tickets for today ... Is there anything New movie is available Today?<A>Yes... There is 5 new movie available in different theater and I send the movie list to your email<U>okay I received it<A>Then tell which movie do you want to see?<U>I like two movies... can you tell me the short line story of these movies<A>can you please mention the movie names?<U>First of all I like to see Indulgent movie then king Alexa movie..<PN>resolve_movie<PAN>name.movie<PAV>Indulgent<PR>resolve_movie<PRAN>name.movie<PRAV>Indulgent<PN>resolve_movie<PAN>name.movie<PAV>king Alexa<PR>resolve_movie<PRAN>name.movie<PRAV>king Alexa<PN>get_movie_attribute<PAN>name.movie<PAV>Indulgent<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>suspense<PN>get_movie_attribute<PAN>name.movie<PAV>Indulgent<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>K<A>okay nice.. The Indulgent movie is like a suspense movie and it was rated by K<U>And what about king Alexa movie?<PN>get_movie_attribute<PAN>name.movie<PAV>king Alexa<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>love<PN>get_movie_attribute<PAN>name.movie<PAV>king Alexa<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>K<A>The king Alexa is love film and it was rated by K<U>okay.. Then tell me the information about show times and available theater<PN>find_theaters<PAN>name.movie<PAV>Indulgent<PAN>location<PAV>nearby<PR>find_theaters<PRAN>name.theater<PRAV>AMC Holiday<PN>find_showtimes<PAN>name.movie<PAV>Indulgent<PAN>name.theater<PAV>AMC Holiday<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>1pm<PRAV>3:55pm<PRAV>7pm<PRAV>10:05pm<A>Indulgent Movie is available in AMC Holiday Theater and showing timing is 1pm - 3:55pm - 7pm - 10:05pm<U>Then for next movie..<PN>find_theaters<PAN>name.movie<PAV>king Alexa<PAN>location<PAV>nearby<PR>find_theaters<PRAN>name.theater<PRAV>AMC Holiday<PN>find_showtimes<PAN>name.movie<PAV>king Alexa<PAN>name.theater<PAV>AMC Holiday<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any	[A]king Alexa movie is available in AMC Holiday Theater and the showing times are 3:00pm - 5:45 - 9:00pm	dlg-1dc5d84d-f107-4097-ad1d-67c58954f455
<PR>find_showtimes<PRAN>time.showing<PRAV>4:30pm<PRAV>6:40pm<PRAV>9:10pm<C><U>I’d like movie tickets for The new Daniel Craig Bond Movie.<PN>resolve_movie<PAN>name.movie<PAV>The new Daniel Craig Bond Movie<PR>resolve_movie<PRAN>name.movie<PRAV>No Time To Die<A>Happy to help! Let me just confirm that the movie name is No Time To Die. Is that right?<U>That’s right.<A>OK. Would you mind giving me the city and state where you’d like to see your movie?<U>I would like to see the movie in SB, California.<PN>resolve_location<PAN>location<PAV>SB<PR>resolve_location<PRAN>location<PRAV>Santa Barbara, California<A>OK. Santa Barbara, California. One moment.<U>Sure.<PN>find_theaters<PAN>location<PAV>Santa Barbara, California<PAN>name.movie<PAV>No Time To Die<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<PRAV>Cinemark Plaza 24<A>OK. No Time To Die is currently playing at AMC Mountain 16 and Cinemark Plaza 24 in Santa Barbara, California. Do you have a preference?<U>I would like to watch it at the AMC Mountain theater.<PN>resolve_theater<PAN>name.theater<PAV>AMC Mountain<PAN>location<PAV>Santa Barbara, California<PR>resolve_theater<PRAN>name.theater<PRAV>AMC Mountain 16<A>OK. Let me check showtimes at AMC Mountain 16.<U>Cool.<PN>find_showtimes<PAN>name.theater<PAV>AMC Mountain 16<PAN>name.movie<PAV>No Time To Die	[A]Remaining showtimes for No Time To Die are 4:30pm, 6:40pm and 9:10pm.	dlg-ee7ca1f1-2422-4f13-a852-90cab6d730e3
<PR>find_theaters<PRAN>name.theater<PRAV>Cinemark Downtown<PRAV>AMC Holiday<PRAV>AMC Multiplex<C><U>I want to go to the movies tonight with my girlfriend.<A>Ok, where do you live?<U>Hillview, Washington.<PN>find_theaters<PAN>location<PAV>Hillview, Washington	[A]There are 3 theaters in Hillview. The Cinemark Downtown, the AMC Holiday, and the AMC Multiplex.	dlg-3035f6cf-af5c-40a5-96dc-cca1656e5208
<U>These are all great suggestions! I really liked hanging out with the characters in IT: Chapter One, so I think it's between IT: Chapter Two and Ad Astra.<C><U>I'm in the mood to see a movie tonight. What can you recommend?<A>Sounds like fun! There's quite a few movies playing right now in theaters - what kind of movie are you in the mood for?<U>Well, I love horror movies because they get so crazy and creative - was IT: Chapter 2 supposed to be any good?<PN>get_movie_attribute<PAN>name.movie<PAV>IT: Chapter 2<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>horror<PN>get_movie_attribute<PAN>name.movie<PAV>IT: Chapter 2<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>63% on Rotten Tomatoes<A>Well, it's only at a 63% on Rotten Tomatoes, and I hear it's a lot like the first one - you might find it kind of boring. What about something with an anti-hero, like Joker?<U>I've heard a lot of people mention that movie, but to be honest, just from the previews I don't like the character very much.<A>Good point - he does seem like you either love him or hate him. What about something spooky but fun? There's several good animated movies out right now with a horror flavor.<U>Good idea! I love how inventive and creative those movies get, especially with how beautiful the art is.<PN>find_movies<PAN>location<PAV>nearby<PAN>name.genre<PAV>horror<PAN>description.other<PAV>good animated movies<PR>find_movies<PRAN>name.movie<PRAV>The Addams Family<PRAV>Abominable<A>Well, you can choose between The Addams Family or Abominable, which are both playing now.<U>It's not exactly what I had in mind, but Abominable does look very cute and heartwarming. What do you think?<A>Based on the movies we've already talked about, out of the two, I'd personally recommend The Addams Family for you, since you like that creepy aspect. And the Addams family can be surprisingly heartwarming too.<U>I have to say, none of these suggestions are really catching my eye - I want a story that I can really get into, that won't have me glancing at my watch the whole time.<A>What about going in a completely different direction with sci-fi movies? There's a lot of overlap there with horror too, so that might be perfect for you.<U>I heard Ad Astra was okay, but it seems kind of slow - does anything really happen during the movie?<A>I don't want to spoil anything for you, but based on the reviews, it looks like it's got a great compelling mystery at the center as they go through space.<U>Hm, I don't know - does it have a good ending? I love mysteries, but only if they can sustain it all the way to the end.<PN>get_movie_attribute<PAN>name.movie<PAV>Ad Astra<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>mysteries<PN>get_movie_attribute<PAN>name.movie<PAV>Ad Astra<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>87% on Rotten Tomatoes<A>Well, I don't want to spoil anything for you, but based on the reviews, I think you'll be decently satisfied - it's got an 87% on Rotten Tomatoes.	[A]Personally, I'd recommend Ad Astra - I think you'll love the creativity behind the space setting, and the mystery should keep you glued to your seat.	dlg-9e15d3c6-ad41-4b21-a43e-8aa9c3555951
<U>I'm in Tempe, Arizona.<C><U>Hello, I'd like to buy movie tickets to 1917 please.<A>OK, sounds good. Where are you located?	[A]OK. What show time would you prefer?	dlg-95dd7b92-b3d8-479c-b14a-5438cf57fc71
<U>Oh, I really like James Cameron. Let me buy 4 tickets for later today.<C><U>Hello, I need to buy a few movie tickets for tonight.<A>Okay, what is your location?<U>I am in Spring Hills, Kansas.<A>Do you have any preferences?<U>A movie with a PG-13 rating would be best.<PN>find_movies<PAN>location<PAV>Spring Hills, Kansas<PAN>description.other<PAV>movie with a PG-13<PR>find_movies<PRAN>name.movie<PRAV>Not My Problem<PRAV>Beyond The Storm<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>comedy<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>PG-13<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>action<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>PG-13<A>Not My Problem is a comedy movie with a rating of PG-13, and Beyond The Storm is an action film that's rated PG-13.<U>Can you tell me about Not My Problem?<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>a troubled teen tries to convince his depressed elderly neighbor that things are not what they seem<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Matt Damon<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Noah Schnapp<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes gave it a 72%<A>Not My Problem is about a troubled teen tries to convince his depressed elderly neighbor that things are not what they seem. It stars Matt Damon and Noah Schnapp, and was Rotten Tomatoes gave it a 72%.<U>Okay, and how about the other?<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes gave it an 81%<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>Fishing the North Sea gets ugly as Captain John’s crew faces not only severe weather but a traitor on board<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>name.character<PR>get_movie_attribute<PRAN>name.character<PRAV>Captain John’s<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>James Cameron<A>Beyond The Storm. Rotten Tomatoes gave it an 81%. Fishing the North Sea gets ugly as Captain John’s crew faces not only severe weather but a traitor on board. This film was directed by James Cameron.	[PN]find_theaters[PAN]location[PAV]Spring Hills, Kansas[PAN]name.movie[PAV]Beyond The Storm	dlg-cd058893-db35-47ce-b5a2-1a674d0ef268
