<U>Purchase two tickets for Mulan for 4pm today.	[A]Do you want to purchase two tickets for Mulan at 6:10pm today?	dlg-f15a36b2-3c86-4397-9b71-76b70908dc8e
"<PR>find_theaters<PRAN>name.theater<PRAV>AMC Holiday<C><U>Hi. I'd like to buy tickets for a movie showing this afternoon.<A>Sure. Can you please tell me the city and state?<U>I'm in Spring Hills, Kansas.<PN>resolve_location<PAN>location<PAV>Spring Hills, Kansas<PR>resolve_location<PRAN>location<PRAV>Spring Hills, Kansas<A>Great. And do you have a movie in mind that you'd like to see this afternoon?<U>Actually, I don't remember what movies are out now. I'd like to find some kind of comedy, though.<PN>find_movies<PAN>location<PAV>Spring Hills, Kansas<PAN>name.genre<PAV>comedy<PR>find_movies<PRAN>name.movie<PRAV>""Not My Problem,""<PRAV>""Family Jewels.""<PN>get_movie_attribute<PAN>name.movie<PAV>""Not My Problem,""<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>comedy<PN>get_movie_attribute<PAN>name.movie<PAV>""Family Jewels.""<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>romantic comedy<A>Okay, I can help you with that. I see that there are two comedies playing in your city today. One is a comedy called ""Not My Problem,"" and the other is a romantic comedy called ""Family Jewels.""<U>Okay. Can you tell me which stars are in those movies?<PN>get_movie_attribute<PAN>name.movie<PAV>""Not My Problem,""<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Matt Damon<PN>get_movie_attribute<PAN>name.movie<PAV>""Not My Problem,""<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Noah Schnapp<PN>get_movie_attribute<PAN>name.movie<PAV>""Family Jewels.""<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Melissa McCarthy<PN>get_movie_attribute<PAN>name.movie<PAV>""Family Jewels.""<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Ryan Reynolds<A>Sure. ""Not My Problem"" stars Matt Damon and Noah Schnapp. And ""Family Jewels"" stars Melissa McCarthy and Ryan Reynolds.<U>I love Melissa McCarthy, so I'll choose that one.<PN>find_theaters<PAN>location<PAV>Spring Hills, Kansas<PAN>name.movie<PAV>""Family Jewels."""	"[PN]find_showtimes[PAN]name.movie[PAV]""Family Jewels.""[PAN]name.theater[PAV]AMC Holiday[PAN]date.showing[PAV]this afternoon[PAN]time.preference[PAV]this afternoon"	dlg-085e22e5-a0cd-458e-ac72-0db8ba9bc460
<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<PRAV>Cinemark Plaza 24<C><U>I would like to see hear information on some movies playing in Dallas Texas please.<PN>resolve_movie<PAN>name.movie<PAV>The movie with the big shark.<PR>resolve_movie<PRAN>name.movie<PRAV>Deep blue Sea 3<A>Happy to help! Let me just confirm that the movie you're talking about is Deep blue Sea 3. Is that right?<U>That’s right.<PN>find_theaters<PAN>name.movie<PAV>Deep blue Sea 3<PAN>location<PAV>Dallas, Texas	[A]OK. Deep blue Sea 3 is playing at both AMC Mountain 16 and Cinemark Plaza 24 in Dallas, Texas.	dlg-0b952394-b01f-4459-ad99-8f56dd716ecf
<U>You sure it's not showing in Davis?<C><U>Hey, I'm looking to see a movie in Davis tonight.<A>No problem. Do you have a movie in mind?<U>No Time To Die is high on my list.<PN>find_theaters<PAN>name.movie<PAV>No Time To Die<PAN>location<PAV>Davis, California<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mercado 24<A>It looks like the nearest theater playing No Time To Die is at the AMC Mercado 24 in Sacramento, California.	[A]That’s right. No Time To Die is not showing in Davis, California.	dlg-6d272ec9-8aec-4c21-825d-2625839d4a23
<U>Yes<C><U>Hi, I'd like to see a movie today if possible<A>Sure, what is your location?<U>Spring Hills, Kansas<A>How many tickets do you need?<U>Two<A>What do you want to see?<U>I've heard of Family Jewels and Not My Problem, but would like more info first<A>Sure, what do you want to hear about first?<U>Tell me about Family Jewels<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Romantic Comedy<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>R<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes 69%<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>A famous diamond dealer leaves his European life in Antwerp to pursue a less than genuine romance with an American con artist-<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Melissa McCarthy<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Ryan Reynolds<A>Family Jewels - Romantic Comedy - rated R - Rotten Tomatoes 69% - A famous diamond dealer leaves his European life in Antwerp to pursue a less than genuine romance with an American con artist- Stars Melissa McCarthy and Ryan Reynolds.<U>Alright, now do Not My Problem<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Comedy<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>PG-13<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes 72%<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>A troubled teen tries to convince his depressed elderly neighbor that things are not what they seem<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Matt Damon<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Noah Schnapp<A>Not My Problem - Comedy - rated PG-13 - Rotten Tomatoes 72% - A troubled teen tries to convince his depressed elderly neighbor that things are not what they seem. - Stars Matt Damon and Noah Schnapp.<U>I think I'll do Not My Problem, sounds funnier<A>Ok<U>When is that playing?<PN>find_theaters<PAN>location<PAV>Spring Hills, Kansas<PAN>name.movie<PAV>Not My Problem<PR>find_theaters<PRAN>name.theater<PRAV>AMC Holiday<PN>find_showtimes<PAN>name.movie<PAV>Not My Problem<PAN>name.theater<PAV>AMC Holiday<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>1pm<PRAV>3:55pm<PRAV>7pm<PRAV>10:05pm<A>AMC Holiday Theater - 1pm - 3:55pm - 7pm - 10:05pm<U>Let's go with 7pm<A>So you want 2 tickets to Not My Problem playing at 7pm at AMC Holiday Theater? The total is $20.	[PN]book_tickets[PAN]name.movie[PAV]Not My Problem[PAN]name.theater[PAV]AMC Holiday[PAN]num.tickets[PAV]2[PAN]time.showing[PAV]7pm[PAN]date.showing[PAV]today[PAN]seating[PAV]any	dlg-e6fc18da-1cc6-461e-95c4-744150308e63
<U>What time do they have?<C><U>Hello, can you find me local AMC theaters?<PN>find_theaters<PAN>location<PAV>Katy Mills Mall<PR>find_theaters<PRAN>name.theater<PRAV>AMC<PN>find_theaters<PAN>location<PAV>Yorktown<PR>find_theaters<PRAN>name.theater<PRAV>AMC<A>There is one in the Katy Mills Mall and another in Yorktown.<U>Can you look up showing at the Yorktown locations?<PN>find_movies<PAN>name.theater<PAV>AMC<PAN>location<PAV>Yorktown<PR>find_movies<PRAN>name.movie<PRAV>Star Wars<PRAV>The Grudge<PRAV>Jumanji<PRAV>Frozen 2<A>Okay, they have the new Star Wars, The Grudge, Jumanji, and Frozen 2.<U>I want to see The Grudge.<A>Okay, how many tickets?<U>4<A>Okay, that 3 tickets to The Grudge at the Yorktown location?<U>No, I said 4 tickets.<A>Okay, sorry.<U>It's okay.<A>What time?	[PN]find_showtimes[PAN]name.movie[PAV]The Grudge[PAN]name.theater[PAV]AMC[PAN]date.showing[PAV]today[PAN]time.preference[PAV]any	dlg-d7b733a3-ffbb-4cb4-9b69-c5eb47a1ef1d
<U>A matinee would be nice.<C><U>I’ve been wanting to see the movie “jojo Rabbit”.<A>I hear it’s good. When would you like to go?<U>I’m free Saturday.<A>Any special time?	[A]Certainly. Did you have a preference for which theater?	dlg-0f8f011a-f1c6-43ca-8486-97d83baea818
<U>Cool, let’s do that.<C><U>Hi there. I’d like to purchase two tickets for a showing tonight please.<A>Of course. Where are you located?<U>For sure. I’m in Spring Hills, Kansas.<PN>resolve_location<PAN>location<PAV>Spring Hills, Kansas<PR>resolve_location<PRAN>location<PRAV>Spring Hills, Kansas<A>Great. And which movie are you looking to book?<U>I’m actually still on the fence. Do you have anything playing at around 8pm tonight?<PN>find_theaters<PAN>location<PAV>Spring Hills, Kansas<PR>find_theaters<PRAN>name.theater<PRAV>AMC Holiday Theater<PRAV>Cinemark Downtown<PN>find_movies<PAN>location<PAV>Spring Hills, Kansas<PAN>name.theater<PAV>AMC Holiday Theater<PR>find_movies<PRAN>name.movie<PRAV>Family Jewels<PN>find_movies<PAN>location<PAV>Spring Hills, Kansas<PAN>name.theater<PAV>Cinemark Downtown<PR>find_movies<PRAN>name.movie<PRAV>Beyond the Storm<PN>find_showtimes<PAN>name.movie<PAV>Family Jewels<PAN>name.theater<PAV>AMC Holiday Theater<PAN>date.showing<PAV>today<PAN>time.preference<PAV>around 8pm<PR>find_showtimes<PRAN>time.showing<PRAV>8:10<PN>find_showtimes<PAN>name.movie<PAV>Beyond the Storm<PAN>name.theater<PAV>Cinemark Downtown<PAN>date.showing<PAV>today<PAN>time.preference<PAV>around 8pm<PR>find_showtimes<PRAN>time.showing<PRAV>8:30pm<A>Absolutely. There is Family Jewels playing at the AMC Holiday Theater at 8:10, and Beyond the Storm playing at 8:30 at the Cinemark Downtown.<U>Beyond the Storm – that’s the James Cameron movie right?<A>Yep, that’s right.<U>And it’s playing at 8:30 you said?<A>That’s right!	[A]Sounds good. Beyond the Storm for an 8:30pm showing. How many tickets would you like?	dlg-b326dd6d-f11c-4617-8528-0cd4c8019cb8
<U>IMAX is how I want to see it<C><U>I want to order movie tickets<A>I will help, I will ask question<U>Ask me anything<A>Which movie did you want to see<U>I want to see 1917<A>which theater did you want to see it at<U>I want to go to AMC CLASSIC Londonderry 10<A>what time did you want<U>I want to go at 8:00 pm<A>how many tickets<U>I want 2 tickets please<A>which day did you want<U>I want to go tonight<A>did you have a screening preference	[PN]find_showtimes[PAN]name.movie[PAV]1917[PAN]name.theater[PAV]AMC CLASSIC Londonderry 10[PAN]date.showing[PAV]today[PAN]time.preference[PAV]8:00 pm[PAN]type.screening[PAV]IMAX	dlg-f10f82c0-7dd0-4b6c-9550-7412aee2dd7d
<PR>find_showtimes<PRAN>time.showing<PRAV>4:00pm<PRAV>6:10pm<PRAV>8:30pm<C><U>Hi, I would like two movie tickets for tonight for me and my mom<A>I can help you with that - what movie title are you interested in seeing?<U>Possession<A>Just one moment while I look that up<U>Thank you<PN>find_theaters<PAN>name.movie<PAV>Possession<PR>find_theaters<PRAN>name.theater<PRAV>Cima Ultraplex 20<PRAV>Northgate Cinemas 12<PN>find_showtimes<PAN>name.movie<PAV>Possession<PAN>name.theater<PAV>Cima Ultraplex 20<PAN>date.showing<PAV>tonight	[PN]find_showtimes[PAN]date.showing[PAV]tonight[PAN]name.movie[PAV]Possession[PAN]name.theater[PAV]Northgate Cinemas 12	dlg-fc1ca2b2-38e3-4136-b417-7c904cce2842
<U>No, actually let me hear movie times for Mulan. It sounds a lot more fun!<C><U>Can you tell me movies playing?<A>Where are you located?<U>Hillview, Oregon<PN>find_theaters<PAN>location<PAV>Hillview, Oregon<PR>find_theaters<PRAN>name.theater<PRAV>Mountain AMC 16<A>I see Mountain AMC 16 is in Hillview, Oregon. Does this sound ok?<U>Yes, I want to surprise a friend and take her to see a movie. Can you give me showtimes for No Time To Die today?<PN>find_showtimes<PAN>name.movie<PAV>No Time To Die<PAN>name.theater<PAV>Mountain AMC 16<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>3:00pm<PRAV>5:10pm<PRAV>7:30pm<PRAV>9:40pm<A>No Time To Die is showing at 3:00pm 5:10pm 7:30pm 9:40pm.<U>Oh great, we had planned on going around 7:30! That'll work great!<A>Good timing. Would you like help with ordering the tickets?<U>Yes please. I didn't know you could do that?<A>I sure can! Let me confirm your details to make sure they are right before submitting.<U>Ok, that sounds like a good idea.<A>To confirm: I'm ordering two tickets for you and a friend to see No Time To Die at 7:30 today at Mountain AMC 16 in Hillview, Oregon?<U>Yes, all that sounds right!<A>Would you like me to process?	[PN]find_showtimes[PAN]name.movie[PAV]Mulan[PAN]name.theater[PAV]Mountain AMC 16[PAN]date.showing[PAV]today[PAN]time.preference[PAV]any	dlg-9b2dcc75-8201-4b6e-a869-b962669f7a11
"<PR>find_movies<PRAN>name.movie<PRAV>""Get Out""<PRAV>""Ex Machina""<PRAV>""The Shape of Water""<PRAV>""Interstellar""<PRAV>""Her""<PRAV>""Robot""<C><U>I want a movie that will leave me feeling fulfilled at the end.<A>It sounds like you are looking for complex drama or mystery<U>Perhaps one of those types of genres, but it would have to be highly-rated by select critics and good enough that a friend of mine would like it.<A>I would suggest remaining in the drama category and narrowing the selection criteria to award-nominated films.<U>That sounds good, but often films that win an Oscar or BAFTA rely on overused tropes or overwrought dialogue to win an audience favor. How can I avoid this?<A>I would suggest narrowing the field to movies that have won screenplay or directors awards rather than overall prizes.<U>Interesting method. Is there a drama of such type that has pushed the bounds of modern cinema as well as being thought-provoking?<PN>find_movies<PAN>name.genre<PAV>drama<PAN>description.other<PAV>bounds of modern cinema as well as being thought-provoking"	"[A]Some recent examples might be ""Get Out"", ""Ex Machina"", or ""The Shape of Water"""	dlg-721c4296-7483-4974-9913-7ab3af1f77ba
<U>Tell me more information and Backcountry and Beyond the Storm.<C><U>Hello!am going to the movie this night.<A>Okay,where is your location?<U>Am located at Spring Hills Kansas.<A>There are many movie showing at Spring Hills Kansas.which movie do you likely to watch?<U>Kindly let me know the available movies showing near my location.<PN>find_movies<PAN>location<PAV>Spring Hills Kansas<PR>find_movies<PRAN>name.movie<PRAV>Not My Problem<PRAV>Family Jewels<PRAV>Shuttered<PRAV>Beyond The Storm<PRAV>Backcountry<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Comedy<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>PG-13<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes 72%Movie2:<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Romantic Comedy<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>R<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes 69%<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Horror<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>R<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes 61%<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Action<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>PG-13<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes 81%Movie5:<PN>get_movie_attribute<PAN>attribute<PAV>name.genre<PAN>name.movie<PAV>Backcountry<PR>get_movie_attribute<PRAN>name.genre<PRAV>Documentary (outdoor)<PN>get_movie_attribute<PAN>name.movie<PAV>Backcountry<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>G<PN>get_movie_attribute<PAN>name.movie<PAV>Backcountry<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes 91%<A>Movie1: Not My Problem - Comedy - rated PG-13 - Rotten Tomatoes 72%Movie2: Family Jewels - Romantic Comedy - rated R - Rotten Tomatoes 69% Movie3: Shuttered - Horror - rated R - Rotten Tomatoes 61% Movie4: Beyond The Storm - Action - rated PG-13 - Rotten Tomatoes 81%Movie5: Backcountry - Documentary (outdoor) - rated G - Rotten Tomatoes 91%	[PN]get_movie_attribute[PAN]name.movie[PAV]Beyond The Storm[PAN]attribute[PAV]description.plot	dlg-df995e80-5013-4bae-aa37-c92e0d5d8d90
<PR>find_showtimes<PRAN>time.showing<PRAV>6:20 PM<C><U>Can I book some movie tickets?<A>Sure, which movie would you like to see?<U>I wanna watch Little Women.<A>Okay, do you have a time preference?<U>Yes, 6PM works best.<A>Alright, and which theater did you want to go to?<U>Cinemark XD 16, please.<A>Did you say Cinemark XD 60?<U>No, Cinemark XD sixteen.<A>Got it. Sorry about that.<U>No problem.<PN>find_showtimes<PAN>name.movie<PAV>Little Women<PAN>name.theater<PAV>Cinemark XD 16<PAN>date.showing<PAV>today<PAN>time.preference<PAV>6PM	[A]I found a showing for Little Women at 6:20 PM at Cinemark XD 16, would you like to book these tickets?	dlg-adc36768-376c-4c10-90b6-58dc2d0df1fb
<U>I think I am leaning more towards Not My Problem, but just to make sure can I know the Rotten Tomatoes score of both movies?<C><U>I need to purchase 3 adult tickets to see a movie this Friday.<A>Happy to be of assistance, will you tell me your current location?<U>I'm in the state of Kansas, in the city of Spring Hills.<A>What about your choice of movie, what were you interested in seeing this Friday?<U>I was debating between Backcountry and Not My Problem, but I still haven't made up my mind yet.<A>Would you like to know more about either movie to help you decide on what to watch?<U>Sure, can you give me the plot synopsis for Backcountry, just to refresh my memory?<PN>get_movie_attribute<PAN>name.movie<PAV>Backcountry<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>an award winning film that offers a chance to explore Yosemite in all its glory by delving into the wonders of one of the United State’s most iconic national parks<A>Backcountry is an award winning film that offers a chance to explore Yosemite in all its glory by delving into the wonders of one of the United State’s most iconic national parks.<U>That sounds good, what about the plot for Not My Problem?<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Matt Damon<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Noah Schnapp<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>the story of a troubled teen trying to convince his depressed elderly neighbor that things are not what they seem<A>Not My Problem, starring Matt Damon and Noah Schnapp is the story of a troubled teen trying to convince his depressed elderly neighbor that things are not what they seem.	[PN]get_movie_attribute[PAN]name.movie[PAV]Not My Problem[PAN]attribute[PAV]review.critic	dlg-86558553-b5e3-43d4-8ae6-9ca657e94c14
